Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
15.01.2025,"2.070,00","0,00","0,00","2.046,47","0,00",0,0,0
14.01.2025,"2.070,00","2.070,00","2.030,00","2.046,47","1,81",170,347.900,347.900
13.01.2025,"2.010,00","2.010,00","2.010,00","2.010,00","0,50",15,30.150,30.150
10.01.2025,"2.000,00","0,00","0,00","2.000,00","0,00",0,0,0
09.01.2025,"2.000,00","2.000,00","2.000,00","2.000,00","2,56",27,54.000,54.000
08.01.2025,"1.950,00","1.950,00","1.950,00","1.950,00","-2,45",219,427.050,427.050
03.01.2025,"1.999,00","1.999,00","1.999,00","1.999,00","2,51",58,115.942,115.942
02.01.2025,"1.950,00","0,00","0,00","1.950,00","0,00",0,0,0
30.12.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,00",39,76.050,76.050
27.12.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,00",657,1.281.150,1.281.150
26.12.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,03",8,15.600,15.600
25.12.2024,"1.950,00","1.950,00","1.949,00","1.949,36","-0,03",69,134.506,134.506
24.12.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,02",25,48.750,48.750
23.12.2024,"1.950,00","0,00","0,00","1.949,57","0,00",0,0,0
20.12.2024,"1.950,00","0,00","0,00","1.949,57","0,00",0,0,0
19.12.2024,"1.950,00","1.950,00","1.948,00","1.949,57","-0,02",154,300.234,300.234
18.12.2024,"1.950,00","0,00","0,00","1.950,00","0,00",0,0,0
17.12.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,00",30,58.500,58.500
16.12.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,00",15,29.250,29.250
13.12.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,05",38,74.100,74.100
12.12.2024,"1.949,00","1.949,00","1.949,00","1.949,00","-0,05",39,76.011,76.011
11.12.2024,"1.950,00","0,00","0,00","1.950,00","0,00",0,0,0
10.12.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,00",100,195.000,195.000
06.12.2024,"1.950,00","1.950,00","1.950,00","1.950,00","2,61",35,68.250,68.250
05.12.2024,"1.910,00","1.910,00","1.899,00","1.900,40","2,45",202,383.881,383.881
04.12.2024,"1.855,00","1.855,00","1.855,00","1.855,00","2,98",436,808.780,808.780
03.12.2024,"1.800,00","0,00","0,00","1.801,34","0,00",0,0,0
02.12.2024,"1.800,00","0,00","0,00","1.801,34","0,00",0,0,0
29.11.2024,"1.800,00","0,00","0,00","1.801,34","0,00",0,0,0
28.11.2024,"1.800,00","1.899,00","1.800,00","1.801,34","-2,79",841,1.514.930,1.514.930
27.11.2024,"1.835,00","0,00","0,00","1.853,08","0,00",0,0,0
26.11.2024,"1.835,00","0,00","0,00","1.853,08","0,00",0,0,0
25.11.2024,"1.835,00","1.900,00","1.835,00","1.853,08","-1,94",165,305.759,305.759
22.11.2024,"1.890,00","1.890,00","1.850,00","1.889,74","-0,03",151,285.350,285.350
21.11.2024,"1.900,00","1.900,00","1.890,00","1.890,27","-2,56",1.182,2.234.300,2.234.300
20.11.2024,"1.940,00","0,00","0,00","1.940,00","0,00",0,0,0
19.11.2024,"1.940,00","1.940,00","1.940,00","1.940,00","0,00",7,13.580,13.580
18.11.2024,"1.940,00","1.940,00","1.940,00","1.940,00","2,11",20,38.800,38.800
15.11.2024,"1.900,00","0,00","0,00","1.900,00","0,00",0,0,0
14.11.2024,"1.900,00","1.900,00","1.900,00","1.900,00","-2,56",2.267,4.307.300,4.307.300
13.11.2024,"1.950,00","0,00","0,00","1.950,00","0,00",0,0,0
12.11.2024,"1.950,00","0,00","0,00","1.950,00","0,00",0,0,0
11.11.2024,"1.950,00","0,00","0,00","1.950,00","0,00",0,0,0
08.11.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,26",175,341.250,341.250
07.11.2024,"1.945,00","0,00","0,00","1.945,00","0,00",0,0,0
06.11.2024,"1.945,00","0,00","0,00","1.945,00","0,00",0,0,0
05.11.2024,"1.945,00","0,00","0,00","1.945,00","0,00",0,0,0
04.11.2024,"1.945,00","0,00","0,00","1.945,00","0,00",0,0,0
01.11.2024,"1.945,00","0,00","0,00","1.945,00","0,00",0,0,0
31.10.2024,"1.945,00","0,00","0,00","1.945,00","0,00",0,0,0
30.10.2024,"1.945,00","1.945,00","1.945,00","1.945,00","-0,05",125,243.125,243.125
29.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","0,00",91,177.086,177.086
28.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",110,214.060,214.060
25.10.2024,"2.006,00","0,00","0,00","2.006,00","0,00",0,0,0
24.10.2024,"2.006,00","0,00","0,00","2.006,00","0,00",0,0,0
22.10.2024,"2.006,00","0,00","0,00","2.006,00","0,00",0,0,0
21.10.2024,"2.006,00","0,00","0,00","2.006,00","0,00",0,0,0
18.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","0,00",3,6.018,6.018
17.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","3,53",6,12.036,12.036
16.10.2024,"1.900,00","1.946,00","1.900,00","1.937,64","-0,43",11,21.314,21.314
15.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",300,583.800,583.800
14.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","8,43",10,20.060,20.060
10.10.2024,"1.850,00","1.850,00","1.850,00","1.850,00","-7,41",165,305.250,305.250
09.10.2024,"1.998,00","1.998,00","1.998,00","1.998,00","0,00",10,19.980,19.980
08.10.2024,"1.998,00","1.998,00","1.998,00","1.998,00","2,46",14,27.972,27.972
07.10.2024,"1.950,00","0,00","0,00","1.950,00","0,00",0,0,0
04.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,10",16,31.200,31.200
03.10.2024,"1.920,00","0,00","0,00","1.947,97","0,00",0,0,0
02.10.2024,"1.920,00","0,00","0,00","1.947,97","0,00",0,0,0
01.10.2024,"1.920,00","0,00","0,00","1.947,97","0,00",0,0,0
30.09.2024,"1.920,00","0,00","0,00","1.947,97","0,00",0,0,0
27.09.2024,"1.920,00","0,00","0,00","1.947,97","0,00",0,0,0
26.09.2024,"1.920,00","0,00","0,00","1.947,97","0,00",0,0,0
25.09.2024,"1.920,00","1.972,00","1.920,00","1.947,97","-1,22",760,1.480.460,1.480.460
24.09.2024,"1.972,00","1.972,00","1.972,00","1.972,00","6,71",20,39.440,39.440
23.09.2024,"1.848,00","1.848,00","1.848,00","1.848,00","2,98",57,105.336,105.336
20.09.2024,"1.800,00","0,00","0,00","1.794,52","0,00",0,0,0
19.09.2024,"1.800,00","0,00","0,00","1.794,52","0,00",0,0,0
18.09.2024,"1.800,00","1.800,00","1.790,00","1.794,52","3,31",73,131.000,131.000
17.09.2024,"1.790,00","1.790,00","1.721,00","1.737,05","-0,46",43,74.693,74.693
16.09.2024,"1.741,00","0,00","0,00","1.745,10","0,00",0,0,0
13.09.2024,"1.741,00","1.780,00","1.731,00","1.745,10","1,46",1.423,2.483.271,2.483.271
12.09.2024,"1.720,00","1.720,00","1.720,00","1.720,00","0,00",25,43.000,43.000
